Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.78     0.00    44169     0.00     0.00  DRAMSim::MemorySystem::addTransaction(bool, unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, DRAMSim::BurstType*)
  0.00      1.78     0.00    43072     0.00     0.00  DRAMSim::Transaction::Transaction(DRAMSim::TransactionType, unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, DRAMSim::BurstType*)
  0.00      1.78     0.00    43072     0.00     0.00  DRAMSim::MultiChannelMemorySystem::addTransaction(bool, unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, DRAMSim::BurstType*)
  0.00      1.78     0.00    38016     0.00     0.00  DRAMSim::MemoryController::returnReadData(DRAMSim::Transaction const*)
  0.00      1.78     0.00    38016     0.00     0.00  DRAMSim::MemoryControllerStats::insertHistogram(unsigned int, unsigned int, unsigned int)
  0.00      1.78     0.00    37440     0.00     0.00  DRAMSim::PIMRank::isToggleCond(DRAMSim::BusPacket*)
  0.00      1.78     0.00    33280     0.00     0.00  DRAMSim::PIMRank::doPIM(DRAMSim::BusPacket*)
  0.00      1.78     0.00    32768     0.00     0.00  std::_Sp_counted_ptr_inplace<DRAMSim::Bank::_DataStruct, std::allocator<DRAMSim::Bank::_DataStruct>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      1.78     0.00    15870     0.00     0.00  DRAMSim::MultiChannelMemorySystem::update()
  0.00      1.78     0.00    15109     0.00     0.00  DRAMSim::MultiChannelMemorySystem::hasPendingTransactions()
  0.00      1.78     0.00    15108     0.00     0.00  ClockDomain::ClockDomainCrosser::update()
  0.00      1.78     0.00    15108     0.00     0.00  ClockDomain::Callback<DRAMSim::MultiChannelMemorySystem, void>::operator()()
  0.00      1.78     0.00    15108     0.00     0.00  DRAMSim::MultiChannelMemorySystem::actual_update()
  0.00      1.78     0.00     9418     0.00     0.00  EltwisePIMKernel::generateKernel(int, int, int)
  0.00      1.78     0.00     5248     0.00     0.00  DRAMSim::Rank::readSb(DRAMSim::BusPacket*)
  0.00      1.78     0.00     5184     0.00     0.00  DRAMSim::MemorySystem::addBarrier()
  0.00      1.78     0.00     5184     0.00     0.00  DRAMSim::MultiChannelMemorySystem::addBarrier(int)
  0.00      1.78     0.00     5110     0.00     0.00  fp16Equal(half_float::half, half_float::half, int, float)
  0.00      1.78     0.00     4672     0.00     0.00  void std::deque<DRAMSim::Transaction*, std::allocator<DRAMSim::Transaction*> >::_M_push_back_aux<DRAMSim::Transaction* const&>(DRAMSim::Transaction* const&)
  0.00      1.78     0.00     4608     0.00     0.00  PIMKernel::changeBank(DRAMSim::pimBankType, int&, int&, int&, int&, unsigned int&, unsigned int&, unsigned int&, unsigned int&)
  0.00      1.78     0.00     4480     0.00     0.00  DRAMSim::PIMRank::writeHab(DRAMSim::BusPacket*)
  0.00      1.78     0.00     4108     0.00     0.00  fp16EqualHelper(char const*, char const*, half_float::half, half_float::half)
  0.00      1.78     0.00     2304     0.00     0.00  std::__detail::_BracketMatcher<std::__cxx11::regex_traits<char>, false, false>::_M_apply(char, std::integral_constant<bool, false>) const
  0.00      1.78     0.00     2283     0.00     0.00  std::__cxx11::regex_traits<char>::isctype(char, std::__cxx11::regex_traits<char>::_RegexMask) const
  0.00      1.78     0.00     2253     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::__cxx11::regex_traits<char>::transform_primary<char const*>(char const*, char const*) const
